,spearman,pval,FDR
SLA1,0.5903087270075359,3.874901548454899e-05,True
HIR1,0.0449720444048294,0.777330453495037,False
ALK2,-0.1684628474191718,0.2862152468574643,False
LAA2,-0.079491127137185,0.6167880871167384,False
SCT1,0.3702293169111093,0.015804307420447,False
YBL012C,-0.1229685281177118,0.4378503799104022,False
FMT1,-0.2034719497331786,0.1962106444771242,False
RRN6,0.0029981362936552,0.984965719548245,False
ACH1,0.8118466898954705,6.857843275120208e-11,True
FUS3,-0.232639170245523,0.1381801610532951,False
PEP1,-0.100234989060854,0.5276569222427081,False
POP8,0.3566161575237014,0.0204390257477557,False
APN2,0.2470626367393242,0.1147052494296835,False
RFT1,-0.2961672473867596,0.0568541530399309,False
HAP3,0.291629527590957,0.0609440375405323,False
PIM1,0.3553196661534721,0.0209344903932596,False
MCM2,-0.3290657159063285,0.0333461255216098,False
NCL1,-0.2387975042541123,0.1277561275887757,False
RRN10,-0.0245523053237176,0.87734297035606,False
LSM2,0.1115792885503605,0.4817471411875207,False
RPL19B,-0.2830402722631878,0.0693250982271246,False
YBL028C,-0.1564703022445507,0.3223924293140889,False
YBL029W,0.1384814844826189,0.3817898675403334,False
PET9,0.5144639818491209,0.000491196094426,True
SHE1,0.3084839154039381,0.046851272661754,False
HEK2,-0.0289279636982416,0.8556966399565047,False
RIB1,-0.1551738108743214,0.3264681095203408,False
STU1,-0.1115792885503605,0.4817471411875207,False
POL12,0.0559922210517786,0.7246908081172523,False
YBL036C,0.0388137103962401,0.8071980577176165,False
APL3,-0.1695972773681225,0.2829354829550133,False
MRPL16,-0.1206547281419658,0.4465846149442189,False
URA7,-0.3031358885017421,0.0510038481056583,False
ERD2,0.0488615185155173,0.7586256140530917,False
PRE7,0.3007049671825622,0.052986911601499,False
FUI1,-0.0289279636982416,0.8556966399565047,False
ECM13,0.153391135240256,0.3321244985334638,False
YBL044W,0.3424102484399454,0.0264404622114186,False
COR1,0.2618102260756827,0.0939585588597126,False
PSY4,0.0148286200469978,0.925740465119599,False
EDE1,0.4382951138481484,0.0036934073088893,True
RRT1,-0.1225994651973097,0.4392371638692482,False
MOH1,0.1670596376644772,0.2903061250010419,False
SEC17,-0.154363503767928,0.3290316880711708,False
PIN4,-0.3582367717364881,0.0198335618078231,False
SAS3,-0.1738108743213678,0.2709687389171182,False
YBL053W,-0.1077009266198464,0.4972034362216448,False
