name,name,spearman,pval
PTH2,PTH2,0.0942508710801394,0.5577788521679055
SHP1,SHP1,0.15696864111498263,0.32703667177659945
IAI11,IAI11,0.013066202090592336,0.9353779036933312
YEL1,YEL1,0.03205574912891987,0.8422937892105641
SKT5,SKT5,-0.04442508710801395,0.7827028467559485
YBL062W,YBL062W,0.028138596495573036,0.8613645512736522
KIP1,KIP1,-0.1674216027874565,0.2954335665508894
PRX1,PRX1,0.38449477351916383,0.013062083126677542
YBL065W,YBL065W,-0.12484974345712142,0.43671273821193624
SEF1,SEF1,-0.06149825783972127,0.7024872731797793
UBP13,UBP13,-0.10783972125435543,0.5021452677562486
PRS4,PRS4,0.12090592334494775,0.4514482063950537
AST1,AST1,0.013240418118466902,0.934518125033254
YBL070C,YBL070C,-0.017625186843707678,0.9129054337282719
YBL071C,YBL071C,0.11019496237518646,0.4927984813988576
RPS8A,RPS8A,-0.04738675958188154,0.7686011614114961
YBL073W,YBL073W,0.14543452710096444,0.36426223909617006
AAR2,AAR2,0.05142571226287214,0.7494889203742513
SSA3,SSA3,-0.3087108013937283,0.04954796803299212
ILS1,ILS1,0.4130662020905924,0.007271314894859334
YBL077W,YBL077W,-0.368815331010453,0.017650655578150543
ATG8,ATG8,0.12735191637630663,0.42750361252099434
NUP170,NUP170,0.19965156794425093,0.21075046515878623
PET112,PET112,0.0804878048780488,0.6169003054444526
YBL081W,YBL081W,-0.11881533101045298,0.4593676012297566
ALG3,ALG3,0.3837979094076656,0.013241986851243743
YBL083C,YBL083C,,
CDC27,CDC27,-0.15435540069686415,0.3352551243000933
BOI1,BOI1,-0.10017421602787457,0.5331779438802555
YBL086C,YBL086C,0.3623693379790941,0.019896478065906657
RPL23A,RPL23A,-0.09111498257839724,0.571014026451105
TEL1,TEL1,-0.14843205574912893,0.35435182053108694
AVT5,AVT5,-0.2822299651567945,0.07380681425978143
MRP21,MRP21,0.3013937282229966,0.055495810049693034
MAP2,MAP2,0.3954703832752614,0.010490955433003261
RPL32,RPL32,0.5520905923344949,0.0001824421278451533
ROX3,ROX3,-0.07822299651567946,0.6268764413792716
YBL094C,YBL094C,-0.055141655982456884,0.7320344748591362
MRX3,MRX3,0.1304878048780488,0.4161171379956006
YBL096C,YBL096C,-0.5038327526132405,0.0007841883455732784
BRN1,BRN1,-0.38780487804878055,0.01223563229407818
BNA4,BNA4,0.13519163763066205,0.39936423276509536
ATP1,ATP1,0.73205574912892,5.359806014332675e-08
YBL100C,YBL100C,0.08981227413894018,0.576554072414029
ECM21,ECM21,-0.11585365853658539,0.4707135520783271
SFT2,SFT2,0.22351916376306624,0.16007900043327813
RTG3,RTG3,0.2742160278745645,0.0827461193999787
SEA4,SEA4,0.006445993031358886,0.9680943723000053
PKC1,PKC1,-0.13275261324041815,0.40800171238364524
SRO77,SRO77,-0.020034843205574915,0.9010534586982483
MIX23,MIX23,-0.07142857142857144,0.6571948241770459
YBL108W,YBL108W,-0.12026755886059098,0.4538584967078597
YBL109W,YBL109W,-0.0007230344240202349,0.9964203026888829
YBL111C,YBL111C,-0.3882832997268305,0.012119945621572021
YBL112C,YBL112C,0.044698045169093745,0.7814002365467643
YBL113C,YBL113C,-0.1649825783972126,0.3026254936155505
NTH2,NTH2,-0.12717770034843207,0.42814126334743463
RER2,RER2,0.08937282229965159,0.5784284133748545
COQ1,COQ1,0.12142857142857144,0.449480022044212
GPI18,GPI18,0.16951219512195126,0.28935734870147894
RCR1,RCR1,0.2613240418118467,0.09886891224200157
