name,Med15_mnase_native_1,Med15_mnase_native_2,Med15_mnase_native_3,Gal4DBDGal11_dGal4_gal11_1,Gal4DBDGal11_dGal4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_1,Gcn4DBDGal11_dGcn4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_3,Gcn4DBDGal11_dGcn4_gal11_4,Mig3DBDGal11_dMig3_gal11_1,Mig3DBDGal11_dMig3_gal11_2,Rpn4DBDGal11_dRpn4_gal11_1,Rpn4DBDGal11_dRpn4_gal11_2,Yap1DBDGal11_dYap1_gal11_1,Yap1DBDGal11_dYap1_gal11_2
CEX1,77.42477457292978,0.0,83.06981741254131,0.0,0.0,39.395391054409764,55.02466939344473,214.1060181633272,197.81725147765366,55.75380852717333,54.85649084856591,79.95482552357917,147.80133753492228,94.32841810814068,43.96814244271171
AZF1,1019.1978068781686,620.6353037235864,0.0,0.0,389.74257398592897,341.659143657713,113.62026128439915,0.0,0.0,786.6933651572638,1316.7985082011953,30.955961209350342,520.2179016213072,26.56069697333004,190.65831678697998
DPI34,254.33906323018743,99.73235113874469,0.0,0.0,0.0,84.70681352995956,306.73592722170554,170.50536144974865,0.0,88.80015010016228,81.91028923633988,71.63188293494721,0.0,40.97418099639992,63.02600623187344
TRS33,0.0,241.8337562785009,0.0,975.7775422359208,0.0,38.03692929391288,0.0,0.0,0.0,119.62502979010367,55.17175803735077,120.621504022641,16.21644769191937,206.99025917146858,148.58199859950855
RPO31,114.05164604598242,137.74481628657603,65.26248281568904,0.0,333.64326409401497,74.28087202178273,216.14628830197142,112.13932863024993,58.27949328045352,32.85157068099438,83.50069103632717,276.77964643579065,482.94437654891203,181.90053078704813,31.088585565553732
RPT5,114.05164604598242,137.74481628657603,65.26248281568904,0.0,333.64326409401497,74.28087202178273,216.14628830197142,112.13932863024993,58.27949328045352,32.85157068099438,83.50069103632717,276.77964643579065,482.94437654891203,181.90053078704813,31.088585565553732
RTC5,454.1676720758451,32.64980880854994,433.13871276557865,988.0429024036911,0.0,15.406018848093204,0.0,0.0,0.0,230.14452309478744,196.64570741804354,312.67250204751633,0.0,234.74314308272687,171.9424564798782
RIO1,547.4479010207156,974.0526294550731,48.94686211176678,8039.076342284576,5171.470593457232,153.20429854492687,64.84388649059143,0.0,1340.428345450431,470.87251309425284,686.8605230407558,70.66714377084017,285.0163533731283,682.1269904514304,808.303224704397
GCY1,547.4479010207156,974.0526294550731,48.94686211176678,8039.076342284576,5171.470593457232,153.20429854492687,64.84388649059143,0.0,1340.428345450431,470.87251309425284,686.8605230407558,70.66714377084017,285.0163533731283,682.1269904514304,808.303224704397
PFY1,1415.6022216692386,1599.190884179971,1253.6241102058477,175.97978062712502,0.0,192.07703101155008,127.75213457847865,248.5476164416734,0.0,474.6316480477994,191.04250544276687,208.83723084516947,198.87335104766788,418.09972748067776,336.8703450834629
