name,Gcn4_PIP2_12,Msn2_HCM1_DPN_6,Msn2_PIP2_12,Msn2_RDS1_12,Msn2_RPN4_DPN_8,Msn2_RPN4_DPN_9,Msn2_SEF1_12,Msn2_SUM1_DPN_9,Msn2_YKL222C_12,Msn2_noAD,Msn2_Gal4AD,Msn2_Gcn4AD,Gcn4_Gal4AD,Gcn4_Gcn4AD
SXM1,1714.7461723699462,758.186322938112,444.1492220499808,590.4036395569641,459.17915484363573,565.3363396351936,556.3832087960091,632.7872633419898,540.4408768194252,674.2992359647526,407.46474557724423,790.5421555595681,1429.5681546232363,1872.5244987531744
NCB2,574.3811080868135,4192.969034295028,4566.148857131753,5135.20621917547,3973.8267320076466,3693.7480108306777,3464.545674357646,5221.915846904536,5827.96969610775,1806.4855917898626,2973.937702581796,2854.3727620552622,460.22548119882185,682.0959297227267
UTP5,574.3811080868135,4192.969034295028,4566.148857131753,5135.20621917547,3973.8267320076466,3693.7480108306777,3464.545674357646,5221.915846904536,5827.96969610775,1806.4855917898626,2973.937702581796,2854.3727620552622,460.22548119882185,682.0959297227267
HPT1,743.7527089347238,1899.603633244335,2105.9081377238767,2362.205205100702,2219.1392734104857,2259.5728844496525,2546.1306600432763,1721.9562846923868,2090.188818849868,1398.4949211649284,1612.7700062304932,2332.3189516833068,722.6483578383242,1023.7864323646846
URH1,2540.3762174536023,459.8631668187559,278.9587716048244,420.5940354423191,331.2337407376941,626.4909842502659,444.2296683438522,284.44153227697257,321.26928301244175,445.1176866020575,347.4121918058729,431.3843639838835,1801.8943138397706,2462.792226210549
RPB7,659.8022996135278,1773.968703375542,1923.3546062147925,2127.5520841310117,1871.783697356611,1621.1610361925611,2188.9170305272296,1971.6380293358125,3122.399384814661,1022.6703958072526,1393.1600316484355,2427.1024468452124,291.7004653083384,794.8541532903942
MRP20,659.8022996135278,1773.968703375542,1923.3546062147925,2127.5520841310117,1871.783697356611,1621.1610361925611,2188.9170305272296,1971.6380293358125,3122.399384814661,1022.6703958072526,1393.1600316484355,2427.1024468452124,291.7004653083384,794.8541532903942
PDR15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRS120,281.4538894695998,0.0,186.79551900000286,0.0,252.1683145041908,326.72124661875404,397.78427228484964,339.4877614661992,283.14978917794997,80.50509355726936,154.03803689708386,79.0350075029302,207.7607957039579,704.7362682736994
ADE8,5760.417943143961,1931.9200906285691,1875.2373580793205,2228.6793581181983,1829.3917187544087,1896.7633136696027,2316.112789987593,2133.6878334864364,2492.216361929094,1150.124055682831,1390.2949699643996,1933.2062339479908,1333.8328482332865,2230.321856906725
SIZ1,5760.417943143961,1931.9200906285691,1875.2373580793205,2228.6793581181983,1829.3917187544087,1896.7633136696027,2316.112789987593,2133.6878334864364,2492.216361929094,1150.124055682831,1390.2949699643996,1933.2062339479908,1333.8328482332865,2230.321856906725
STE14,892.3589142410281,851.8684776855863,453.16911567163186,427.96707739956344,779.0307503225013,972.7447180137938,800.9077950643202,1288.750260065387,599.1890061783218,638.1639444039814,747.2036818829121,1071.6270304500702,981.140747301335,1940.1338199919644
DFM1,1120.6142471042524,1113.0909741612975,959.7201996201175,1266.2291168293264,1175.1243258000463,1223.0509228536157,1218.8396904995523,1334.4631697979062,1059.8462379724147,1747.3707194790527,1235.540072100386,1520.4119488353201,1091.6589605154115,1465.7082374481286
RRP17,1120.6142471042524,1113.0909741612975,959.7201996201175,1266.2291168293264,1175.1243258000463,1223.0509228536157,1218.8396904995523,1334.4631697979062,1059.8462379724147,1747.3707194790527,1235.540072100386,1520.4119488353201,1091.6589605154115,1465.7082374481286
ERD1,4593.223488876925,284.3109046738889,697.4130640871238,887.8155827631614,471.78986364807014,1030.0586858238794,606.3134285231358,667.9301144479798,254.75921447629742,987.4500780499577,700.9093325595962,794.5627810010496,4716.233114700056,4603.822182702624
YDR415C,1223.5105781530028,1907.2539040260158,1597.0775936131085,1626.1825698545413,1890.7064277174388,1682.3949108348106,1630.3395245569982,1293.088682230923,1430.704801142198,4387.42436702645,2269.220649279034,1862.2058100167485,1781.0471771575958,2224.38716242124
SYF1,1223.5105781530028,1907.2539040260158,1597.0775936131085,1626.1825698545413,1890.7064277174388,1682.3949108348106,1630.3395245569982,1293.088682230923,1430.704801142198,4387.42436702645,2269.220649279034,1862.2058100167485,1781.0471771575958,2224.38716242124
YDR417C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12B,1211.9265366951142,3920.1893950871195,5027.376909909611,4866.228703263292,3446.0185917052477,3800.2366939558055,4128.320986821935,5130.599011310925,5063.485826742335,2416.1087521345944,3186.3061124719866,3469.20716604163,907.8966794393235,1250.9861796119546
RAD30,452.9586795260824,322.63964215906844,362.0636055183633,454.60788443116655,523.0482362002981,390.0031490274473,387.79163758225593,425.9167986119128,372.21275012704325,822.8521435219362,562.5084176620493,611.2069401103302,589.1458743888398,714.7898508659991
HKR1,700.4442763653841,167.09470686512788,310.98568879792424,289.28652189318086,293.6706757027516,280.0501172735902,327.8977920769279,142.54116163733613,292.53089177588305,315.25635029026705,246.87505878004683,344.5982763536552,728.7824976154155,1082.2355861095264
ARO80,597.8393624086349,961.0402479288522,674.325221442884,942.0622563647519,834.6441562000451,662.7803594775896,612.4198233292145,699.3543886389198,660.1572000388138,1675.7265765464424,1131.2822415364556,970.0836283189259,1183.8649764432355,1349.2581243260884
SIP1,1533.2732778089587,2002.0590583109683,1346.793030890139,1538.8554527585861,1600.7836293058708,1646.4580149168332,1811.671770536198,1977.2321076059084,1352.2147301980117,2114.2787493293663,2221.3028422195207,2230.0454433894947,1001.5432954884815,1485.5227954810755
