name,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_1,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_1,Gcn4_PIP2_12_27271508_2,Gcn4_PIP2_12_27271508_1
IQG1,2301.1524037450026,2048.109172113403,2001.2582096527642,1566.5269069745257,1799.9044345477066,1448.773436850921,1721.8355591081397,1974.26783180642
SRP68,1183.4150575284816,1392.206441374607,1528.973965144329,855.5905726711261,990.3780381482595,1045.1772363960515,919.6167190691201,1081.8588876312956
HUT1,1183.4150575284816,1392.206441374607,1528.973965144329,855.5905726711261,990.3780381482595,1045.1772363960515,919.6167190691201,1081.8588876312956
YPL245W,1599.3461274833853,1694.6424272789716,1744.9645491620308,1474.5505491889794,1492.783033795755,989.8871084193663,1152.804287005621,1132.374319562231
RBD2,1599.3461274833853,1694.6424272789716,1744.9645491620308,1474.5505491889794,1492.783033795755,989.8871084193663,1152.804287005621,1132.374319562231
YPL247C,1985.8156902535645,2549.2252285943277,2009.890793827936,1452.0647343626372,1748.9733526419989,1339.8802135551953,1691.7497227258739,2105.1780643813972
GYP5,1143.9363564353387,1452.5024744856776,1241.0041757446231,891.5817765096192,1312.2110302550532,1112.6920007849537,704.6771454868498,2030.3272887589478
ATG41,2269.8460280196346,2600.260785740885,2138.204774348189,2155.639702857229,3282.9986223829187,2431.2139585332925,9377.23944315715,9322.931427974763
YAH1,2125.3446718377513,3124.5414839088403,2399.510400786813,2387.034444864287,3705.577397441344,2684.750006307032,4316.081732206144,6145.8936306746255
HFI1,1651.4822071479557,1562.551675373221,1549.915786285224,1489.7562264940489,1358.0582948806539,1248.3815442999437,1283.3457198949661,974.03761187796
BBP1,652.7513126669689,596.6514401852183,532.0787088803542,440.3544140077998,614.2681374745896,485.26737988778854,616.7860949233801,447.5007085427886
CLN2,525.3852028782921,539.6767668518818,413.3994429590855,446.64519135076824,542.9486158951428,456.0050253216908,585.4240900967675,410.20898283088957
APM1,1028.0264575800347,1283.5127798148862,1111.6291241292158,855.5457186437252,798.3185157441295,780.3294550959415,1071.535164909262,1118.7517713569712
CUB1,2729.9038074512114,2102.1357235560827,2577.4112044951403,2748.657284111474,2855.075119970703,2350.0399708091936,2503.458280019072,3904.784575927379
FUM1,1382.832049134206,1636.4392285186095,1410.3052766977412,1436.394159977823,1695.5641098081364,1433.8553737387927,1933.990297641107,2106.982502722296
KEL3,1198.6060689041556,1500.3330644445277,1254.0442432347377,1363.0017576431896,1571.3301044761972,1348.506839587674,1813.7692791390925,1640.8359313235578
