name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
DBP6,612.9202702769533,446.5183061777532,462.9667156283881
ZRG17,83.6833756073771,296.1302229583053,427.7635831172526
MRX15,83.6833756073771,296.1302229583053,427.7635831172526
COQ2,486.3533208404686,304.68333936389115,381.4059868348957
YNR042W,0.0,0.0,0.0
MVD1,486.3533208404686,304.68333936389115,381.4059868348957
AGA1,42.7237625341799,293.39298319402616,138.5265956888167
PET494,349.20557949930986,426.927534345194,437.27389335262046
TRM112,232.7930349431876,534.7809511661594,363.86510413773783
FPK1,421.2468815373052,930.0976386263974,1185.3547201773263
YNR048W,313.0658048321546,117.88047603436878,363.8778353558117
MSO1,657.0523507999746,298.36789468367726,868.5233523539102
LYS9,2441.463622479545,1265.4731494199552,2839.296755754793
BRE5,513.8351521739106,870.4531627781948,908.0505558168984
POP2,499.85903732978846,606.7580002760463,843.7206125095792
NOG2,179.58402718925802,105.54899750782761,187.28132372041298
ESF2,80.15940838071734,101.2598608726368,58.73837628094024
HOL1,393.62201062843894,332.38678157302456,263.1127666377129
BIO5,120.5372376156339,148.96634105681682,225.93691074468043
BIO4,26.335785748744854,47.1521904137475,20.412461150131122
BIO3,120.5372376156339,148.96634105681682,225.93691074468043
MNT4,512.9123349105892,601.6548610165175,1125.6272798635418
FRE4,3101.5713062369714,3472.048716376883,4288.207960037398
YNR061C,102.70846629597965,120.71427830300578,70.65217755189965
PUL3,23.802676765354157,4.125816661202906,34.62619134133855
PUL4,56.786313069957,41.23228618571864,113.15534831340716
YNR064C,141.70483520503234,200.25446691371957,205.93453316591766
YNR065C,0.0,0.0,0.0
YNR066C,0.0,0.0,0.0
DSE4,1586.1292993179663,1172.672851878731,1576.4443624859232
YNR068C,0.0,0.0,0.0
BSC5,1871.6052255062198,1704.6903103384548,2527.353073496151
PDR18,70.85241760251617,49.208628637771355,3.186123116895033
YNR071C,168.5287981396715,233.98157791211366,192.5433770387215
HXT17,0.0,0.0,0.0
MAN2,131.34166077425695,147.15471864858594,177.52846093439766
AIF1,158.4851216944531,215.081881107149,282.1002696962014
COS10,144.2521601755513,114.38465558985018,248.86140493687594
PAU6,0.0,0.0,0.0
YNR077C,0.0,0.0,0.0
PHO80,0.0,130.9525315032505,50.00907445889143
IZH2,0.0,130.9525315032505,50.00907445889143
PFA4,101.03295204934142,222.67523475380372,188.55481790538246
SIN3,2696.0021641344615,3154.025771662477,3224.8761194234003
RPB11,2696.0021641344615,3154.025771662477,3224.8761194234003
TOP1,1864.3669030319581,2030.1012702059265,2170.239973908585
CSI2,1066.5723488851283,1483.4800267684882,2093.8856636571572
COQ10,189.97350229908793,52.381038936558866,290.3712187776461
MDM12,189.97350229908793,52.381038936558866,290.3712187776461
RCL1,231.0431643106944,319.7422085144435,193.39756128480394
PLB3,3508.1211748184232,3931.6685223393615,4569.948688530509
HTZ1,3508.1211748184232,3931.6685223393615,4569.948688530509
HRD1,1536.5789863287837,608.8767276963447,1063.9892365005976
YOL014W,1227.4540531903676,1168.1778971501126,943.6134433977038
IRC10,3233.6057875480883,2482.1516754403956,2113.469153021282
CMK2,3233.6057875480883,2482.1516754403956,2113.469153021282
ESC8,331.3942574003196,532.2873028868383,671.0605968614094
TLG2,331.3942574003196,532.2873028868383,671.0605968614094
YOL019W,3350.595510079497,4031.572825213363,5835.754627542452
TAT2,4362.613673824375,4770.474508671754,7092.462160498826
DIS3,4362.613673824375,4770.474508671754,7092.462160498826
TSR4,81.70376921918583,39.555547135813,80.33162810115985
IFM1,413.6968793145347,52.28681586722952,300.0147024459879
YOL024W,0.0,0.0,0.0
