name,Native_med15mnase,Gal4Full_nodeletion_erv_2_reps_0.96_meancorr,Gal4Full_dGal4_deletions_tef_3_reps_0.99_meancorr,Gal4DBD_Gal4AD_dGal4_deletions_tef_3_reps_0.95_meancorr,Gal4DBD_Gcn4AD_dGal4_deletions_tef_3_reps_0.97_meancorr,Gal4DBDGal11_dGal4_gal11_2_reps_0.95_meancorr,Yap1_lab_data,Yap1Full_dYap1_deletions_tef_3_reps_0.99_meancorr,Yap1DBD_Gal4AD_dYap1_deletions_tef_3_reps_0.82_meancorr,Yap1DBD_Gcn4AD_dYap1_deletions_tef_2_reps_0.97_meancorr,Yap1DBDGal11_dYap1_gal11_2_reps_0.98_meancorr,Gcn4_lown_lab_data,Gcn4Full_dGcn4_deletions_tef_3_reps_0.98_meancorr,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3_reps_0.97_meancorr,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3_reps_0.97_meancorr,Gcn4DBDGal11_dGcn4_gal11_4_reps_0.93_meancorr,Mig3_lab_data,Mig3Full_dMig3_deletions_tef_2_reps_0.99_meancorr,Mig3DBD_Gal4AD_dMig3_deletions_tef_3_reps_0.94_meancorr,Mig3DBD_Gcn4AD_dMig3_deletions_tef_3_reps_0.97_meancorr,Mig3DBDGal11_dMig3_gal11_2_reps_0.98_meancorr,Rpn4_lab_data,Rpn4Full_dRpn4_deletions_tef_3_reps_0.95_meancorr,Rpn4DBD_Gal4AD_dRpn4_deletions_tef_2_reps_0.93_meancorr,Rpn4DBD_Gcn4AD_dRpn4_deletions_tef_3_reps_0.89_meancorr,Rpn4DBDGal11_dRpn4_gal11_2_reps_0.99_meancorr,Med15_Gcn4DBD_Mnase,Med15_Msn2DBD_Mnase,Med15_Msn2DBD_Mnased11TFs,Med15_dDBD_Mnase,Gal11_ddmsn,Msn2_dgal11,Msn2_d11,Msn2DBDonly_d11,Gal11_MNase_d12,Msn2_lab_data
YGL114W,259.9094763349115,6177.620146250061,3786.455565519649,5090.374344358546,2643.4199540791155,1434.1214293539176,5367.486902121984,17831.41276801995,5633.5294127831085,2773.093910352455,197.07781904501985,1714.227505004472,2846.506117739716,2512.888978188674,2680.814477400017,172.77970061933974,560.763653053891,736.3189270345331,783.3214421583165,1624.5701915274983,80.1875072713345,573.887654305775,768.6941109002695,422.60647898932064,1222.7045798640177,71.57622828226994,253.1254120653742,123.66117396879952,54.86358758326483,97.2854699383659,2635.4470211073904,494.6643870066691,456.5072274900745,620.7841724539185,82.891271572107,310.4352819518929
SNF4,948.9330162707711,1023.6815971169109,1608.856937170823,1101.993788054353,1360.9450559249854,0.0,1272.183736899965,2197.799616160875,1391.024398643119,1406.7634636100106,86.9653144302499,1115.808642967674,1673.029409327448,1432.121502862473,1859.737419115563,918.2340327678747,1305.4324705930737,989.1858613738516,605.8950863565651,1335.7350623737957,147.24054902980248,910.9219993413897,1049.8660042531803,867.499937127697,1372.8194929399613,179.3358856912639,563.6720351488369,356.12271105119436,845.7818764528608,416.1192296083429,89.07273646097055,1536.0023234300056,1943.3179199436745,2568.2742582784003,316.33140487330957,1775.3466899343878
CDC20,746.6681148134845,4303.808732894529,2129.227637736494,1621.3022134145801,1649.1973983401895,148.15829620608602,371.37721444252173,939.3453703368954,1147.732378642425,1364.5339313585719,141.55688860577635,842.9605797071987,1806.8531520492033,1400.874283518275,1316.4800334509866,116.80846431855632,2062.8314681780225,1497.5437032452378,905.8237183843526,1176.554036608512,248.45593745630345,608.7296664985348,704.137194096157,1108.035846351645,1225.4298017941767,305.7829364196281,136.8387362966623,152.91177120816698,365.74848790496,618.0942907853977,172.49533665389444,505.8938193983108,571.4898459486875,258.4128884270501,213.77201153109334,561.1097619681882
YGL117W,2053.8804376145945,1311.441582971213,870.9691625291194,733.8017762216265,836.1009747468485,1515.9401102593774,1141.0820964973118,1658.6983726405413,900.7055107438817,1009.0751369300692,104.97774748391149,18191.06053327525,21823.779652513003,7065.808261871131,3657.7629276726498,2235.2047671140954,2023.3640818575343,4728.807087820158,6882.664998075888,1982.7827634466792,1225.5461411980082,494.93938863011965,310.21771136435,849.5166084841931,1034.4488261204342,377.96199847857116,4311.192099256843,1464.0986736262983,407.443044704972,462.11035056929313,880.5476232998801,552.0273737146732,1845.3838655625716,475.68687097776746,368.37774156153455,1028.897958480925
COQ8,390.2250292692102,1923.9658591685327,1670.59198736068,1938.1832972358322,2075.101156682216,85.43945871027084,3414.890956009094,5059.351574274592,2753.3432714651462,3217.207653638896,58.181838833077,1356.7860535192076,1489.8799252492124,1294.8750369890074,1593.7392415631468,222.21974724251692,921.1768626909201,1172.40001612261,1184.1562540111797,1972.422015844144,195.6184060049224,734.8924334479572,1110.712533578733,1779.3329115437355,1877.8857265930858,246.1534903005195,280.0427617711854,110.14978315931383,467.98314688400836,201.06386248244402,260.5485117252061,1198.041123928943,589.3114228087007,3878.5800805482095,218.45323232076794,1122.508159420505
PRP43,390.2250292692102,1923.9658591685327,1670.59198736068,1938.1832972358322,2075.101156682216,85.43945871027084,3414.890956009094,5059.351574274592,2753.3432714651462,3217.207653638896,58.181838833077,1356.7860535192076,1489.8799252492124,1294.8750369890074,1593.7392415631468,222.21974724251692,921.1768626909201,1172.40001612261,1184.1562540111797,1972.422015844144,195.6184060049224,734.8924334479572,1110.712533578733,1779.3329115437355,1877.8857265930858,246.1534903005195,280.0427617711854,110.14978315931383,467.98314688400836,201.06386248244402,260.5485117252061,1198.041123928943,589.3114228087007,3878.5800805482095,218.45323232076794,1122.508159420505
GPG1,2524.065861303505,1479.918520623055,1398.842703805417,921.7429466729615,1130.4087221159346,0.0,2934.43587818095,1698.280674810049,711.9045099710883,870.5312895366743,346.04295864503706,147.87056666789567,877.1672864084685,684.2696523785353,927.6309876189883,169.93649921926078,1321.4161231263224,1273.9017702149986,776.7073078116977,1257.6148549092102,251.97444355811135,1106.099162966136,843.9155740042853,1520.7643197884022,1753.017633175431,270.6035310336677,1471.9985638338883,2843.8475925035295,2700.3365842673666,1315.562386225738,1502.3270731787652,3696.901232709417,4919.2463250871615,2420.417996558788,1126.518476056494,6801.769783320676
NAB2,917.4827205015696,4212.745953249027,1025.617920066437,963.3239082028822,1593.5753193314047,535.9384228189718,1413.984400446535,1327.8942148278545,1300.4807045167965,1266.9110337949978,61.79125591391795,461.61662711701183,1452.1836441480737,798.5518074175005,1262.4423748572826,465.7139930717119,2722.0523846997844,2121.529049128748,1536.2678372002313,2404.550629078905,230.71591613991856,3854.6768025480487,6027.327928361196,6811.8857803432875,5345.769010019878,1276.4106721684375,512.176904013691,121.59482929016797,879.9887733083299,825.7359075888322,3487.3086844956374,793.5210495581802,689.3588992857811,448.62126143818,1204.711492368479,627.4938088198112
RPS2,2174.7142990316506,1404.6419845790788,1685.9014885999802,651.2757921817159,780.7926905780492,310.05813315034754,1752.767846681207,3632.2629841820403,718.3678656678952,856.9139067989117,244.6933734191151,2001.097529478967,960.8187589851054,548.7903877123006,616.4441448264962,1100.6255427372616,1620.7285488981433,995.5561509906606,473.1317528498418,788.0011671494532,397.48562180539557,605.4754716785,354.33915029495034,643.9077269984432,1029.8664842855696,1158.4263990637728,1271.8845832510888,1208.5353472731533,1777.0557246502422,745.070319944619,1739.0815560172634,1014.770793067966,1966.5573009153431,434.8327253403688,2116.72596268082,1106.860227983238
MON1,2193.0990981138048,1780.1445351369994,1875.1567880864186,747.1584579703244,927.360345586384,310.05813315034754,1827.47406731279,3882.1070719935155,825.2864621454195,957.4147286798411,252.61373090190284,1981.6028420597843,1010.5868358334446,552.3291334329991,666.8202879156078,1066.1169499668363,1580.9457421936036,980.0220673147358,531.0850904160454,874.0681512703468,404.8981094520883,556.7030198578116,392.15363426340656,748.6396176658229,1113.8779480029182,1108.9416178257889,1158.9870281791339,1267.7196537010298,1694.278890983121,750.9949837211649,1629.0131031047786,1004.2521519641508,1858.0866004505497,442.5185084778663,2087.910378398026,1122.8680485882924
