,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RPL17B,1902.00868,-0.03492443,0.147264579,-0.237154315,0.812537077,0.848444649
SWI3,1081.127352,0.186568124,0.134343255,1.388742021,0.164911211,0.291277554
YJL175W,0.847525192,1.168671254,1.947549669,0.600072631,0.548457832,
KRE9,1355.941328,0.162499288,0.130148711,1.24856625,0.211823763,0.331562188
RFA3,251.252373,0.220693206,0.172755945,1.277485451,0.201430914,0.322300597
CPS1,1272.13376,0.43189733,0.148054896,2.917143189,0.003532536,0.04609076
TOH1,1894.547592,-0.063398155,0.148518261,-0.426871108,0.669473211,0.729452365
ASG7,194.1077524,0.296470502,0.204007409,1.453233992,0.146158797,0.275517186
YJL169W,19.09070575,0.92932447,0.434561502,2.138533822,0.032473442,0.146577175
SET2,968.9334159,0.132620069,0.131498568,1.008528624,0.313200753,0.419897907
ERG20,3599.956485,-0.099612941,0.155785104,-0.639425324,0.522546279,0.602649653
QCR8,572.2649261,0.180130388,0.150594709,1.196126934,0.231647029,0.349129041
HAL5,976.6305736,0.252158968,0.127175929,1.98275704,0.047394575,0.171806358
TPK1,500.7329079,0.49866881,0.128582172,3.878211124,0.000105227,0.003310659
YJL163C,158.4543943,0.481507489,0.167075455,2.881976218,0.003951896,0.048675582
JJJ2,254.3062941,0.392915345,0.161362348,2.434987775,0.014892293,0.100013322
FMP33,53.31257543,0.189633683,0.224962515,0.842956807,0.399252601,0.496470381
PIR5,36.02945422,0.603176858,0.335513976,1.797769695,0.072213512,0.202051242
HSP150,7293.161963,-0.766410592,0.1392468,-5.50397274,3.71e-08,2.76e-06
CIS3,2531.408164,-0.504568141,0.149645013,-3.371767169,0.000746876,0.015837593
FAR1,1744.167818,-0.077228931,0.137352373,-0.562268636,0.573933004,0.648165853
YJL156W-A,7.145396728,0.448973055,0.588760495,0.762573337,0.445717891,0.536213813
SSY5,777.4349687,0.274648516,0.136704342,2.009069437,0.04452977,0.167147037
FBP26,689.0708134,0.295725733,0.148117939,1.996555822,0.045873456,0.169381585
VPS35,1582.896539,0.21647279,0.134416046,1.61046837,0.107295645,0.23963522
INO1,48.99238746,0.249758366,0.297408065,0.839783434,0.401029823,0.497713868
YJL152W,2.774980128,0.480466768,1.069788022,0.449123338,0.653342686,
SNA3,464.1632357,0.087776562,0.176556067,0.497159701,0.619076437,0.686558141
YJL150W,2.809213387,-0.808918906,1.09614663,-0.737965965,0.460535131,
DAS1,472.3234364,0.248938169,0.120400895,2.0675774,0.038679779,0.158423078
RPA34,1035.67903,0.117635367,0.146465033,0.803163492,0.421880244,0.515846024
SMT1,255.4767475,0.277928025,0.159617624,1.741211395,0.081646531,0.21275808
IDS2,373.4122916,0.231048855,0.136843107,1.688421578,0.091330331,0.222896833
SFH5,693.9904186,0.244412908,0.150422582,1.624841857,0.10419626,0.235806156
ROQ1,388.2474723,0.415750722,0.195827743,2.123043014,0.033750248,0.149487516
TIM17,1173.674202,0.155064678,0.159691008,0.971029491,0.331533593,0.434907766
IRC9,0.990606758,-0.787348924,1.602393896,-0.491357915,0.623173324,
YAK1,677.3085346,0.215804523,0.132751506,1.625627689,0.104028881,0.235806156
RPB4,883.1344321,0.102184136,0.16794623,0.608433636,0.542899908,0.619822265
YUR1,576.5537085,0.333758794,0.162291514,2.056538784,0.039730612,0.160056028
TIF2,1452.377313,0.104768717,0.148013822,0.707830631,0.479050442,0.563892438
GLG2,201.0204855,0.206319989,0.173910435,1.186357731,0.235481057,0.351866848
YJL136W-A,0.200000313,1.177587204,4.025951282,0.292499119,0.769905033,
RPS21B,1167.603742,-0.053952895,0.1634921,-0.33000307,0.741397642,0.790787301
