name,dependence
ADP1,tail_independent
PGK1,tail_dependent
YCR013C,not_checked
POL4,tail_independent
CTO1,tail_independent
YCR016W,tail_independent
CWH43,tail_independent
SRD1,not_checked
MAK32,not_checked
PET18,no_call
HSP30,tail_independent
YCR022C,not_checked
YCR023C,tail_independent
SLM5,tail_independent
YCR025C,not_checked
NPP1,tail_independent
RHB1,tail_independent
FEN2,tail_independent
SYP1,tail_independent
RPS14A,tail_independent
BPH1,tail_independent
SNT1,tail_independent
ELO2,tail_independent
RRP43,tail_independent
RBK1,tail_independent
PHO87,tail_independent
BUD5,not_checked
MATALPHA2,no_call
MATALPHA1,no_call
YCR041W,not_checked
TAF2,tail_independent
YCR043C,tail_independent
PER1,tail_independent
RRT12,no_call
IMG1,no_call
BUD23,tail_independent
ARE1,tail_independent
YCR049C,not_checked
YCR050C,no_call
YCR051W,tail_independent
RSC6,tail_independent
THR4,tail_independent
CTR86,tail_independent
PWP2,tail_independent
YIH1,tail_independent
TAH1,no_call
YCR061W,no_call
BUD31,tail_independent
YCR064C,not_checked
HCM1,tail_dependent
RAD18,tail_independent
SED4,tail_independent
ATG15,tail_independent
CPR4,tail_independent
IMG2,tail_independent
RSA4,tail_independent
SSK22,tail_independent
ERS1,tail_independent
FUB1,no_call
PAT1,tail_independent
PTC6,tail_independent
SRB8,tail_independent
AHC2,tail_independent
TRX3,tail_independent
TUP1,tail_independent
YCR085W,not_checked
CSM1,tail_independent
YCR087W,not_checked
ABP1,tail_independent
FIG2,tail_independent
YCR090C,tail_independent
KIN82,tail_independent
MSH3,tail_independent
CDC39,tail_independent
CDC50,tail_independent
OCA4,tail_independent
HMRA2,not_checked
[],tail_independent
GIT1,no_call
YCR099C,tail_independent
EMA35,not_checked
YCR101C,tail_independent
YCR102C,tail_dependent
PAU3,no_call
ADH7,no_call
RDS1,tail_independent
AAD3,tail_independent
RMD1,tail_independent
NHP10,tail_independent
MCD1,tail_dependent
ATP16,tail_independent
MED2,tail_independent
PTC1,tail_independent
RPT2,tail_independent
APC11,tail_independent
YDL009C,not_checked
GRX6,tail_independent
YDL011C,not_checked
YDL012C,tail_independent
SLX5,tail_independent
NOP1,tail_independent
TSC13,tail_independent
YDL016C,not_checked
CDC7,tail_independent
ERP3,tail_independent
OSH2,tail_independent
RPN4,tail_independent
GPM2,no_call
GPD1,tail_dependent
YDL023C,not_checked
DIA3,no_call
RTK1,tail_independent
YDL026W,not_checked
MRX9,tail_independent
MPS1,tail_independent
ARP2,tail_independent
PRP9,tail_independent
DBP10,tail_independent
YDL032W,not_checked
SLM3,tail_independent
YDL034W,not_checked
GPR1,tail_independent
PUS9,tail_independent
BSC1,tail_dependent
[],tail_independent
PRM7,tail_independent
NAT1,tail_independent
YDL041W,not_checked
SIR2,tail_independent
PRP11,tail_independent
MTF2,tail_independent
FAD1,tail_independent
NPC2,tail_independent
SIT4,tail_independent
STP4,no_call
KNH1,no_call
YDL050C,not_checked
LHP1,tail_independent
SLC1,tail_independent
PBP4,tail_independent
MCH1,tail_independent
PSA1,tail_dependent
MBP1,tail_independent
YDL057W,no_call
USO1,tail_independent
RAD59,tail_independent
TSR1,tail_independent
RPS29B,tail_independent
YDL062W,not_checked
SYO1,tail_independent
UBC9,tail_independent
PEX19,tail_independent
IDP1,tail_independent
COX9,tail_independent
YDL068W,not_checked
CBS1,tail_independent
BDF2,tail_independent
YDL071C,not_checked
YET3,tail_independent
AHK1,tail_independent
BRE1,tail_independent
RPL31A,tail_independent
RXT3,tail_independent
VAM6,tail_independent
MDH3,tail_independent
MRK1,no_call
THI3,tail_independent
RPP1A,tail_independent
RPL13A,tail_independent
RPS16B,tail_independent
SUB2,tail_independent
NDE2,no_call
YDL086W,tail_independent
LUC7,tail_independent
ASM4,tail_independent
NUR1,tail_independent
RAM1,tail_independent
UBX3,tail_independent
SRP14,tail_independent
PMT5,tail_independent
YDL094C,not_checked
PMT1,tail_independent
OPI6,not_checked
RPN6,tail_independent
SNU23,tail_independent
BUG1,tail_independent
GET3,tail_independent
DUN1,tail_independent
POL3,tail_independent
QRI1,tail_independent
QRI7,tail_independent
NSE4,tail_independent
PHO2,tail_independent
MSS2,tail_independent
KIN28,tail_independent
YDL109C,tail_independent
TMA17,tail_independent
RRP42,tail_independent
TRM3,tail_independent
ATG20,tail_independent
YDL114W,no_call
IWR1,tail_independent
NUP84,tail_independent
CYK3,tail_independent
YDL118W,not_checked
HEM25,tail_independent
YFH1,tail_independent
EXP1,tail_independent
UBP1,tail_independent
SNA4,tail_independent
YDL124W,tail_dependent
HNT1,tail_independent
CDC48,tail_independent
PCL2,tail_independent
VCX1,tail_independent
YDL129W,tail_independent
RPP1B,tail_independent
LYS21,tail_independent
CDC53,tail_independent
SRF1,tail_independent
PPH21,tail_independent
RDI1,tail_independent
RPL35B,tail_independent
ARF2,tail_independent
RGT2,tail_independent
SCM3,tail_independent
RPO21,tail_independent
BPL1,tail_independent
CRD1,tail_independent
CCT4,tail_independent
YDL144C,no_call
COP1,tail_independent
LDB17,tail_independent
RPN5,tail_independent
NOP14,tail_independent
ATG9,tail_independent
RPC53,tail_independent
BUD30,not_checked
YDL152W,not_checked
SAS10,tail_independent
MSH5,no_call
CLB3,tail_independent
CMR1,tail_independent
YDL157C,tail_independent
YDL158C,not_checked
STE7,tail_independent
DHH1,tail_independent
ENT1,tail_independent
YDL162C,not_checked
YDL163W,not_checked
CDC9,tail_independent
CDC36,tail_independent
FAP7,tail_independent
NRP1,tail_independent
SFA1,tail_independent
UGX2,no_call
UGA3,tail_independent
GLT1,tail_independent
YDL172C,not_checked
PAR32,tail_independent
DLD1,tail_independent
AIR2,tail_independent
